Category,Text,Prediction
ca_text,"I liked a @YouTube video https://t.co/rUzAGz5JyA Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"I liked a @YouTube video https://t.co/09AxrGuLl4 Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,"I liked a @YouTube video https://t.co/nk70aSNQqS Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"I liked a @YouTube video https://t.co/Z0mcOQWXXM Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,With that Carra video I'm gonna guess there's no audio on it because the ones filming went over the line no way he's just spits at the car for being called anbellend or something like that,0.01212971
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,RT @Im_0n1: My son talking bout “why u got stuff n my car seat when u knew i was getting n the car “ Lmaoo my fault boss,0.38063294
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"RT @utdxtra: For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher l…",0.52201843
ca_text,"For some reason, there’s no audio on the video, but the girl’s father was having a bit of banter about the result, Carragher lost his head and spat towards the car. You can see the video with audio, here: https://t.co/HPB82lsQz0",0.60551095
ca_text,"I liked a @YouTube video https://t.co/rXVYWj2lyx Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing",0.0110896
ca_text,RT @gaelynnwoods: Weekend car trip? You need #audio books. #GhostsForAllAges #RomSuspense #WomensFic https://t.co/YtIRuH46Eh #ArtKNB @ann_s…,0.35096729
ca_text,"Gostei de um vídeo do @YouTube https://t.co/C2C1bXfJ1P Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive -",0.01639147
ca_text,"Extreme Car Audio ""bucket-o-bass"" Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing (Update Video... https://t.co/8yUJSS38GU",0.00833657
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"I added a video to a @YouTube playlist https://t.co/3mnQ4qnNN9 Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive",0.01808699
ca_text,"https://t.co/dHGEXnehCn Bluetooth Receiver 4.2, Wireless Audio, NFC Enabled, with 3.5mm Dual Audio Output for Home/Car Stereo by #LiDiwee https://t.co/Vx7M1p9eQg",0.18138815
ca_text,"Extreme Car Audio Fail &amp; FIX - 4 12"" DC Audio Level 1 Subwoofers Arrive - Unboxing (Update Video 3): https://t.co/3mnQ4qnNN9 via",0.00262295
ca_text,audio porn car toons sex https://t.co/rrHCyVunnC,0.06132335
ca_text,I liked a @YouTube video https://t.co/3sbkpWVbDf ? Relaxing Rain on a Car at Night - BLACK SCREEN - 10 Hrs - 3D Audio Sounds for,0.59885585
ca_text,ICYMI: Cam¨¦ra de recul sans fil inclus Linux EinCar MP5 Double Din dans Dash Radio FM voiture 2DIN 7 pouces Car Stereo Vid¨¦o Syst¨¨me audio Bluetooth Mirror Link USB SD Fonction https://t.co/wS5wmFejxq https://t.co/BwH6rwj4u3,0.39166737
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"Extreme Car Audio FAIL &amp; Fix - ""Bucket o' BASS"" Chevy Silverado - Intro, Walk Around, Tear Down - Update 4 12""... https://t.co/oVokJQ4Pnr",0.08281753
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"Took the beast out for a quick ride. #Honda #400ex #atv #quad #braaap

Interested in a remote car starter or upgraded car audio system? View our profile for our contact information &amp; give one of our team members a call today.
#ford #chevy #smartstart #jeep #toyota https://t.co/z6bgcwIbBW",0.97218913
ca_text,"Ok - I’m going to sit down and watch now 

How is Matt Di Beggar detto doing ? 

Is he making DW Happy  ?  Any in car audio with Sponsors Denny and Harv giving him an AttaBOY ? 

Gotta make the Sponsors proud !",0.30785051
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,So I'm trying to catch up since stupid raceview audio wouldn't work on my phone. But had MRN so not completely lost. Guessing car isn't to @MartinTruex_Jr @FRRacingTeam liking? Time for changes...,0.00999836
ca_text,@MamaPKL @DaveFultonWrang @TariBKfan @KimKawata @kross700 No. We’re watching on my tv. I have the NASCAR app giving in car audio and stuff.,0.5844239
ca_text,"One time I had this girl in my car, and I paired my car with my phone and the audio from the porn I was watching earlier blasted through the speakers. Anyways, we don’t really talk much these days",0.97111589
ca_text,MG GT GTS audio Upgrade radio Car android wifi GPS navigation camera https://t.co/F1lMUfsMPD https://t.co/7NTMsAVAEx,0.50380784
ca_text,Toyota Passo Car audio radio update android GPS navigation camera https://t.co/o1B55xbXV3 https://t.co/B0urdy7blP,0.05005443
ca_text,What is your favorite book? Wouldn't a audio version for the car be nice? get #free audiobooks from Amazon https://t.co/n8BCuSUfvy #freebies,0.19589733
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,@NASCAR  Fourth week in a row no audio on the 42 car on your mobile app. I will be contacting my credit card company to charge back my annual subscription. I'll come back when you fix it.,0.026535
ca_text,Michael's audiobook will increase your sales while driving your car or traveling. Click https://t.co/mPIpnabKsy for Free Audio Sample #sales https://t.co/p4Xazdt47d,0.07507832
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"@ASManess @dannycatsteve @GallesKraco3 I actually totally agree with that. My problem was the 150 minutes leading up to that cut away. I didn't even hear what Bourdais said while still in the car, because the audio cut out for my affiliate (which happened 7-8 other times during the race).",0.05800336
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,Is 30 an acceptable age to start listening to audio books in the car...? #AskTwitter https://t.co/11sI2kZvEm,0.3428115
ca_text,RT @MTXAudio: Choosing the right subwoofer for you has never been easier... https://t.co/DivtO9cWkz https://t.co/nc6STgQc1s,0.26888171
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,Me gustó un video de @YouTube https://t.co/KYzYPomESF CABLE PIRATA VS CABLE DE CALIDAD NO TE DEJES ENGAÑAR / CAR AUDIO,0.57211441
ca_text,Hertz HCP4D 1160w 4 Channel Digital Bridgeable Car Audio Speaker Sub Amplifier https://t.co/vXzA4ym8CT via @eBay,0.0685627
ca_text,Two 7 Inch Android Car &lt;b&gt;DVD&lt;/b&gt; Player Audio For Audi/A4/S4 2002-2008 Quad Core CANBUS Wifi GPS Navigation... https://t.co/qjkAbBOq46,0.50074136
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
ca_text,"RT @xeni: Stormy’s got him by the nuts, her race car driver lawyer is playing this better than Saul Goodman on a lucky streak, there’s text…",0.91625184
wt_text,"@MPRodriguezR Calla, unos walkie talkies? Estamos a tango",0.42514461
wt_text,*brings Walkie Talkies on Spring Break* “Wait. Okay. What. OVER.,0.94112378
wt_text,"RT @john_mcguirk: @sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" que…",0.67147589
wt_text,"RT @john_mcguirk: @sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" que…",0.67147589
wt_text,"RT @john_mcguirk: @sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" que…",0.67147589
wt_text,"@TristinCastillo i called the end bed i already texted y’all but she took it :/ 
BUT we can have walkie talkies &amp; how are we supposed to play laser tag now",0.12950575
wt_text,"@sarahcareyIRL @RMcGreevy1301 @PaddyJManning @KarlBrophy For the record, on the ""how did we know where our March was"" question, we use an app called Zello to equip staff with walkie talkies (it's great). You can hear some comms chatter here. https://t.co/8OlGHgtBP5",0.96566629
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,"There’s like 8 of us working, all with walkie talkies. They had to deal with my Beer Lead and myself reciting @JanetJackson’s That’s The Way Love Goes over them.",0.9802736
wt_text,Greaval G777 Walkie Talkies Long Range Portable 2 Way Radio 16 CH FRS/GMRS Radios (2 Pack) https://t.co/i3e7Ka3A6n,0.25638232
wt_text,Enter to win OuterStar Durable Walkie Talkies for Kids (Ends 3/13 - One Time Entry) https://t.co/nsCKg61fnM #Sweepstakes #Contest #Giveaway #win,0.8566981
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,Guide to Walkie Talkies - Ebuyer Blog https://t.co/fUnHaZqHKI,0.382094
wt_text,Walkie Talkies Voice Scrambler 2 Way Radios w... by LUITON https://t.co/CE8bdvcVjr via @amazon https://t.co/pxmfXa1nba,0.02609184
wt_text,@9_volt88 walkie talkies taped to behind their heads,0.83508497
wt_text,"Secret Service walkie-talkies, Intercom Squawkers to Narco Fuzz and Florida Mafia Real Estate Speculators.",0.94126874
wt_text,"Walkie Talkies for Kids, 22 Channel Walkie Talkies 2 Way Radio 3 Miles (Up to 5Miles) Handheld Mini Walkie Talkies for Kids, Toys for 5-year old Boys and Girls (1 Pair) https://t.co/EeplHiJB6U https://t.co/eDoubHPMjj",0.34264341
wt_text,RT @alrightambs: DCHAKS WE NEED WALKIE TALKIES https://t.co/C6zFeRtCHq,0.29119289
wt_text,DCHAKS WE NEED WALKIE TALKIES https://t.co/C6zFeRtCHq,0.29119289
wt_text,"Walkie Talkies, Two-Way Radios, Radio Communication, Consumer Electronics - PicClick https://t.co/KKAcqvVgwV",0.01434268
wt_text,"Toys for 3-15 Year Old Boy, Gifts for Teen Girls Boys , DIMY Walkie Talkies for Kids Teen Boy Gifts Birthday Presents Green DJ01 https://t.co/h7Wa90a0J7",0.59617066
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,"@gunnarolla Yes, but it’s always better to ask the people who walk the sidelines with the clipboards and walkie talkies",0.73373491
wt_text,@99737E @trixxx_es Supposedly Cousteau and his cronies invented walkie-talkies in the helmet. But we made ours with a special rabbit ear on the top so we could pipe in some music - Steve Zissou https://t.co/02RtUiow44,0.35163483
wt_text,@BridgetMcCaff Ooooooo shit this would have been an awful week if there were no walkie talkies......,0.00759466
wt_text,RT @Sassyassgoat: I ordered walkie-talkies for me and Mimi to use in the apartment and I can’t fucking wait omg,0.71150559
wt_text,I ordered walkie-talkies for me and Mimi to use in the apartment and I can’t fucking wait omg,0.71150559
wt_text,"Walkie Talkies for Kids, iksee kids Walkie Talkies Long Range 6Km, 22 Channel Two Way… https://t.co/rdqeFy0D3C",0.24175137
wt_text,"Walkie talkies | in Northampton, Northamptonshire | Gumtree https://t.co/2ClWfjqI0c",0.36719579
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,@badimo please may you add walkie talkies to the game pls,0.2379653
wt_text,@Target @HunterBoots WOW RAIN OR SHINE TARGET=TRASH CAN'T EVEN TAKE CARE OF BIG LOS ANGELES STORES WOW NICE ENTRANCE SMELLS LIKE A HERD OF CATTLE DIED COUPLED WITH BOTCHED PRODUCTS TURN YOUR WALKIE TALKIES OFF NOBODY WANTS THIS AND WILL PROSECUTE ON OT YOUR NOT THE PD MORONS,0.15692371
wt_text,"If you’re thinking of the kind of thing that we’ve seen in the past / Chanting gurus, walkie-talkies, walkouts, hypnotists, tempers, fists / Not so fast!",0.09607334
wt_text,Grown men pretending to talk on imaginary walkie talkies.,0.14142564
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,@SteveSansweet Did Chiquita banana do a Star Wars promotion by selling banana walkie talkies in 1979? Someone trying to dupe us on Ebay.,0.27894083
wt_text,Long Range Walkie Talkies - https://t.co/aJ2gm8HlSs https://t.co/T1v54fStHM,0.23766154
wt_text,Walkie Talkies are the most clutch thing in the world for traveling across the country in a convoy,0.71813399
wt_text,Win Free and 30% Off OuterStar Durable Walkie Talkies for Kids(Green) https://t.co/x9rtGujysq,0.09806848
wt_text,@angie7575 @TNTickler @meridithmcgraw I was thinking he'd take off when the oligarch yacht was parked off Mar a logo.   They were probably using children's walkie talkies to communicate.,0.30418691
wt_text,Walkie Talkies ..,0.54342699
wt_text,"Men with walkie-talkies
Men with flashlights wavin'
Up upon the tower
Time reads #DaylightSavings.

Look out for my love #NeilYoung https://t.co/vLW4ikx4yE",0.27436215
wt_text,"@ValeeGrrl Oh my god, my Sunday looks bright now. I have walkie talkies! Over.",0.22696976
wt_text,How to Use Walkie Talkies | It Still Works https://t.co/bH5lzNNqy2,0.7717275
wt_text,"Mobile radios, walkie talkies, UHF radio from TL Parker https://t.co/H6OTmdVXRL",0.69787127
wt_text,https://t.co/PmmJkTdIGo,0.3276971
wt_text,https://t.co/4mcumuJaif,0.3276971
wt_text,"Osea era super stalker, teníamos prismáticos, camaras (de mierda) walkie talkies e incluso unas navidades solo pedimos cosas espía para espiar al hombre ese lmao. Nos lo tomábamos en serio.",0.94067132
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,https://t.co/mkyRQZlgre,0.3276971
wt_text,https://t.co/2O3lQbiBbN,0.3276971
wt_text,https://t.co/pA9RMk8IEv,0.3276971
wt_text,"""Lucas is very close to my house,  El.  We can walk there,  if you'd like to! Else the bike was alright as well..""

  Lucas was nearby that's the reason the signal has been perfect over the walkie talkies. 

""let's go?"" https://t.co/mT4fNFmKfK",0.44466344
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,"England Hockey Masters Cup QF today. 
My observations of this level of ?: 
1) Proper hockey players do TWO FULL laps of pitch to warm up, not 1 (cutting all corners). 
2) Away kits are a thing. 
3) You get appointed umpires with walkie-talkies. 
4) Am so nervous, I might puke.",0.84746325
wt_text,Cheap Walkie Talkies Online | Walkie Talkies for 2017 https://t.co/XZfFyV3wx5,0.2296032
wt_text,Thank goodness the boys brought walkie talkies,0.72377592
wt_text,3 Way Walkie Talkies | eBay https://t.co/lUdbUa38Wj,0.19977246
wt_text,Walkie-talkies!! ??,0.54342699
wt_text,"Secret Service walkie-talkies, Intercom Squawkers to Narco Fuzz and Florida Mafia Real Estate Speculators.",0.94126874
wt_text,RT @Hannah_Renee08: @bigaillll *loses both Walkie Talkies in one night*,0.00691667
wt_text,New York Giants Fined by NFL for Walkie-Talkies - Rolling Stone https://t.co/KDs8Nqdsrs,0.66273457
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,My nephew isn't allowed to watch Stranger Things because he has nightmares so his alternative was to buy walkie talkies and talk to us around the house ?,0.34651658
wt_text,"then he sent me a audio message all I hear is walkie talkies and voices, I’m like huh! ? then he says that.... #explainsalot ?????",0.14824104
wt_text,"@Kahil @shimannchuu @MichelleHillie7 @YippeeKimYay @Alyssa_Milano @rkdowner @NRA Walkie talkies
Digital photography
And
Satellite navigation",0.79790527
wt_text,"@ryanries_ On the walkie-talkies, they don't perform at remotely that ""50-mile"" distance most of the time. Your radio station engineer will attest to this. https://t.co/LOenG4RxpF",0.01056931
wt_text,"We got pretzels, lamb cutlets and walkie-talkies #Costco",0.87070239
wt_text,Communications During An Uprising: From Zello To Walkie-Talkies In Venezuela And Ukraine | International Busines... https://t.co/2yyuDSOvpu,0.45907557
wt_text,RT @EmStadelmyer: Ash and I having wayyy too much fun with these walkie talkies ?,0.76041907
wt_text,"Walkie Talkies for Kids, 3 Channels Two Way Radio 2 Miles Range Handheld Mini Walkie… https://t.co/cfWMI1ExnR",0.17766647
wt_text,"RT @MoloJumpMan: 7. Give communities the tools and infrastructure they need. These may be tools like: walkie talkies for communication, veh…",0.78437334
wt_text,It’s about time the military figured out how to jam the signal of GI Joe brand walkie talkies https://t.co/RsZHjkhIS3,0.23359899
wt_text,"@renegade_roo You’re not Dank enough, I communicate intelligence through walkie talkies.",0.01387017
wt_text,@bigaillll *loses both Walkie Talkies in one night*,0.00598249
wt_text,"RRUUUNNNN!!

Set of two 22 channel radios for ONLY $7.50!

- Coupon XEJFMZOT

https://t.co/2hCbHd2EHy https://t.co/dnOiuQG7Du",0.3474766
wt_text,"RRUUUNNNN!!

Set of two 22 channel radios for ONLY $7.50!

- Coupon XEJFMZOT

https://t.co/yE5JMejZxF https://t.co/DAYORJ2uyk",0.3474766
wt_text,Ash and I having wayyy too much fun with these walkie talkies ?,0.76041907
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,My sister and I have the whole house to ourselves so we decide to play hide n seek with walkie talkies ?,0.67599189
wt_text,"You know you have rocking GS leaders when one says in booth sales prep ""I have walkie talkies"" .?????? ?",0.69773149
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,How To Use Motorola Walkie Talkies | Elite Radios https://t.co/JyhmxSMRqo,0.27225244
wt_text,"@SVWColby @FairByNight Ooh ooh! Can we get walkie talkies, and code names?",0.51100421
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,Gave walkie talkies to my 8 year old twin granddaughters for their birthday. They were the hit of the party. Brought back good memories. Happy to know somethings  in life don’t change. Very grateful for my grandchildren ???,0.99177104
wt_text,RT @1PaperboyKa: Crib so big we getting walkie talkies ????????,0.4765203
wt_text,@LisaAnnDuval That's why we should carry walkie talkies so you won't get lost,0.95939738
wt_text,Crib so big we getting walkie talkies ????????,0.4765203
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,RT @ValeeGrrl: Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and…,0.40266201
wt_text,Seriously considering getting a set of walkie talkies so I can ask husband to bring me stuff when he's in the other room and I'm too lazy to text,0.16572234
wt_text,Sometimes the real entertainment at work is when everyone talks on the walkie talkies,0.41760916
wt_text,@thejd800 @bariweiss do all of them share walkie-talkies on some unreachable frequency where they organize all this claptrap..,0.15412658
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,"RT @WowsBox: Enter to have a chance to win OuterStar Durable Walkie Talkies for Kids(Green) via code.
Enter here &gt;&gt; https://t.co/Xzit3PzwXG…",0.2281848
wt_text,"The Mrs has asked me to take her home and roger her, finally found a use for those walkie talkies.",0.83645689
rd_text,"$13/ 764 ??? 
?????????. ???????? ????? ??????
https://t.co/T3epQyUIg7'",0.51011533
